codigo_plan,nombre_plan,tag_equipo,tipo,frecuencia_valor,frecuencia_unidad,duracion_estimada_h,especialidad,n_tecnicos,requiere_parada,requiere_buzo_rov,norma_referencia,fecha_ultima_ejecucion,activo,observaciones
PM-011,Lubricacion del rodamiento principal,MB01-ROD-003,Lubricacion,3,Meses,4,Mecanica,2,SI,NO,Manual del fabricante,,SI,PROPUESTA - VALIDAR FRECUENCIA Y MANUAL
PM-012,Operacion y engrase de valvulas de producto,MB01-SWV-005,Preventivo,3,Meses,4,Mecanica,2,SI,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-013,Inspeccion de chain stoppers de fondeo,MB01-FON-008,Preventivo,3,Meses,3,Mecanica,2,NO,NO,OCIMF MEG4,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-014,Inspeccion de hawser y chafe chain,MB01-AMB-001,Inspeccion legal,3,Meses,3,Estructuras,2,NO,NO,OCIMF MEG4,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-015,Inspeccion de mesa giratoria y sellos,MB01-ROD-002,Preventivo,3,Meses,4,Mecanica,2,SI,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-016,Mantenimiento de tablero electrico,MB01-ELE-005,Preventivo,6,Meses,4,Electrica,1,NO,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-017,Verificacion de torque de perneria del rodamiento,MB01-ROD-004,Preventivo,6,Meses,8,Mecanica,3,SI,NO,Manual del fabricante,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-018,Medicion de potencial de proteccion catodica,MB01-PCA-004,Predictivo,6,Meses,6,Buceo,3,NO,SI,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-019,Inspeccion subacuatica de anodos del casco,MB01-PCA-001,Inspeccion legal,6,Meses,6,Buceo,3,NO,SI,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-020,Retoque de recubrimiento anticorrosivo,MB01-CAS-006,Preventivo,6,Meses,16,Pintura,3,NO,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-021,Inspeccion subacuatica de cadenas de fondeo,MB01-FON-001,Inspeccion legal,12,Meses,16,Buceo,4,NO,SI,API RP 2SK,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-022,Inspeccion subacuatica de mangueras submarinas,MB01-MGS-001,Inspeccion legal,12,Meses,12,Buceo,4,NO,SI,OCIMF GMPHOM 2009,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-023,Inspeccion subacuatica del PLEM,MB01-PLM-001,Inspeccion legal,12,Meses,12,Buceo,4,NO,SI,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-024,Prueba hidrostatica de mangueras flotantes,MB01-MGF-001,Inspeccion legal,12,Meses,24,Mecanica,4,SI,NO,OCIMF GMPHOM 2009,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-025,Inspeccion y prueba del swivel de producto,MB01-SWV-001,Inspeccion legal,12,Meses,16,Mecanica,3,SI,NO,Manual del fabricante,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-026,Ensayo de estanqueidad de compartimentos,MB01-CAS-002,Inspeccion legal,12,Meses,12,Estructuras,3,SI,NO,OCIMF SMOG,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-027,Medicion de espesores del casco,MB01-CAS-001,Predictivo,12,Meses,16,Estructuras,3,NO,SI,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-028,Renovacion de certificacion DICAPI,MB01-CAS-001,Inspeccion legal,12,Meses,8,Estructuras,1,NO,NO,DICAPI,,SI,PROPUESTA - VALIDAR FRECUENCIA Y ALCANCE
PM-029,Inspeccion de tuberia interna de producto,MB01-SWV-003,Predictivo,12,Meses,8,Mecanica,2,SI,NO,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-030,Reemplazo de anodos de sacrificio del casco,MB01-PCA-001,Preventivo,24,Meses,24,Buceo,4,NO,SI,,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-031,Reemplazo de hawser principal,MB01-AMB-001,Preventivo,24,Meses,8,Estructuras,3,SI,NO,OCIMF MEG4,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-032,Rotacion de mangueras flotantes,MB01-MGF-001,Preventivo,24,Meses,16,Mecanica,4,SI,NO,OCIMF GMPHOM 2009,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-033,Medicion de desgaste de cadenas de fondeo,MB01-FON-001,Predictivo,36,Meses,24,Buceo,4,NO,SI,API RP 2SK,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-034,Reemplazo de sellos del swivel,MB01-SWV-002,Preventivo,60,Meses,40,Mecanica,4,SI,NO,Manual del fabricante,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-035,Overhaul del rodamiento principal,MB01-ROD-001,Preventivo,60,Meses,120,Mecanica,6,SI,NO,Manual del fabricante,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-036,Reemplazo de mangueras flotantes,MB01-MGF-001,Preventivo,60,Meses,40,Mecanica,4,SI,NO,OCIMF GMPHOM 2009,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-037,Reemplazo de mangueras submarinas,MB01-MGS-001,Preventivo,60,Meses,48,Buceo,6,SI,SI,OCIMF GMPHOM 2009,,SI,PROPUESTA - VALIDAR FRECUENCIA
PM-038,Inspeccion de racon y senal sonora,MB01-ELE-006,Preventivo,3,Meses,2,Instrumentacion,1,NO,NO,DICAPI,,SI,PROPUESTA - VALIDAR SI APLICA
PM-039,Verificacion del sistema de telemetria,MB01-ELE-008,Preventivo,3,Meses,3,Instrumentacion,1,NO,NO,,,SI,PROPUESTA - VALIDAR SI APLICA
PM-040,Inspeccion del pescante de izaje,MB01-ACC-004,Inspeccion legal,12,Meses,4,Mecanica,2,NO,NO,,,SI,PROPUESTA - VALIDAR SI APLICA
